annotated_image,periodic,year,id,n_images,area_percentage
BiancoRossoVerde_1916_annoII-n2-30gen-22.png,BiancoRossoVerde,1916,annoII-n2-30gen-22.png,3.0,0.488
BiancoRossoVerde_1915_annoI-n7-1nov-15.png,BiancoRossoVerde,1915,annoI-n7-1nov-15.png,1.0,0.33
BiancoRossoVerde_1915_annoI-n4-1sett-10.png,BiancoRossoVerde,1915,annoI-n4-1sett-10.png,4.0,0.305
BiancoRossoVerde_1915_annoI-n11-12-25dic-12.png,BiancoRossoVerde,1915,annoI-n11-12-25dic-12.png,4.0,0.355
BiancoRossoVerde_1915_annoI-n4-1sett-11.png,BiancoRossoVerde,1915,annoI-n4-1sett-11.png,7.0,0.307
BiancoRossoVerde_1915_annoI-n11-12-25dic-13.png,BiancoRossoVerde,1915,annoI-n11-12-25dic-13.png,4.0,0.241
BiancoRossoVerde_1916_annoII-n1-15gen-20.png,BiancoRossoVerde,1916,annoII-n1-15gen-20.png,1.0,0.022
BiancoRossoVerde_1915_annoI-n11-12-25dic-9.png,BiancoRossoVerde,1915,annoI-n11-12-25dic-9.png,3.0,0.277
BiancoRossoVerde_1915_annoI-n8-15nov-3.png,BiancoRossoVerde,1915,annoI-n8-15nov-3.png,2.0,0.264
BiancoRossoVerde_1916_annoII-n3-15feb15mar-20.png,BiancoRossoVerde,1916,annoII-n3-15feb15mar-20.png,2.0,0.161
BiancoRossoVerde_1915_annoI-n10-15dic-11.png,BiancoRossoVerde,1915,annoI-n10-15dic-11.png,1.0,0.148
BiancoRossoVerde_1915_annoI-n8-15nov-2.png,BiancoRossoVerde,1915,annoI-n8-15nov-2.png,2.0,0.035
BiancoRossoVerde_1915_annoI-n9-1dic-9.png,BiancoRossoVerde,1915,annoI-n9-1dic-9.png,5.0,0.276
BiancoRossoVerde_1916_annoII-n2-30gen-13.png,BiancoRossoVerde,1916,annoII-n2-30gen-13.png,4.0,0.278
BiancoRossoVerde_1915_annoI-n5-15sett-10.png,BiancoRossoVerde,1915,annoI-n5-15sett-10.png,3.0,0.16
BiancoRossoVerde_1916_annoII-n2-30gen-17.png,BiancoRossoVerde,1916,annoII-n2-30gen-17.png,5.0,0.319
BiancoRossoVerde_1916_annoII-n2-30gen-6.png,BiancoRossoVerde,1916,annoII-n2-30gen-6.png,2.0,0.066
