annotated_image,periodic,year,id,n_images,area_percentage
CorriereDeiPiccoli_1909_annoI-n9-03.jpg,CorriereDeiPiccoli,1909,annoI-n9-03,7.0,0.613
CorriereDeiPiccoli_1913_annoV-n9-02.jpg,CorriereDeiPiccoli,1913,annoV-n9-02,10.0,0.227
CorriereDeiPiccoli_1910_annoII-n47-12.jpg,CorriereDeiPiccoli,1910,annoII-n47-12,2.0,0.084
CorriereDeiPiccoli_1909_annoI-n41-01.jpg,CorriereDeiPiccoli,1909,annoI-n41-01,2.0,0.088
CorriereDeiPiccoli_1913_annoV-n52-06.jpg,CorriereDeiPiccoli,1913,annoV-n52-06,3.0,0.138
CorriereDeiPiccoli_1909_annoI-n9-06.jpg,CorriereDeiPiccoli,1909,annoI-n9-06,8.0,0.226
CorriereDeiPiccoli_1909_annoI-n26-10.jpg,CorriereDeiPiccoli,1909,annoI-n26-10,7.0,0.612
CorriereDeiPiccoli_1916_annoVIII-n1-09.jpg,CorriereDeiPiccoli,1916,annoVIII-n1-09,9.0,0.702
CorriereDeiPiccoli_1909_annoI-n48-09.jpg,CorriereDeiPiccoli,1909,annoI-n48-09,2.0,0.308
CorriereDeiPiccoli_1909_annoI-n23-09.jpg,CorriereDeiPiccoli,1909,annoI-n23-09,3.0,0.233
CorriereDeiPiccoli_1916_annoVIII-n32-08.jpg,CorriereDeiPiccoli,1916,annoVIII-n32-08,2.0,0.037
CorriereDeiPiccoli_1913_annoV-n18-01.jpg,CorriereDeiPiccoli,1913,annoV-n18-01,8.0,0.111
CorriereDeiPiccoli_1909_annoI-n48-13.jpg,CorriereDeiPiccoli,1909,annoI-n48-13,4.0,0.462
CorriereDeiPiccoli_1913_annoV-n6-16.jpg,CorriereDeiPiccoli,1913,annoV-n6-16,4.0,0.286
CorriereDeiPiccoli_1913_annoV-n44-20.jpg,CorriereDeiPiccoli,1913,annoV-n44-20,11.0,0.206
CorriereDeiPiccoli_1916_annoVIII-n17-11.jpg,CorriereDeiPiccoli,1916,annoVIII-n17-11,14.0,0.407
CorriereDeiPiccoli_1909_annoI-n37-11.jpg,CorriereDeiPiccoli,1909,annoI-n37-11,7.0,0.61
CorriereDeiPiccoli_1913_annoV-n22-05.jpg,CorriereDeiPiccoli,1913,annoV-n22-05,3.0,0.266
CorriereDeiPiccoli_1910_annoII-n26-20.jpg,CorriereDeiPiccoli,1910,annoII-n26-20,4.0,0.073
CorriereDeiPiccoli_1916_annoVIII-n35-11.jpg,CorriereDeiPiccoli,1916,annoVIII-n35-11,12.0,0.208
CorriereDeiPiccoli_1909_annoI-n40-12.jpg,CorriereDeiPiccoli,1909,annoI-n40-12,4.0,0.131
CorriereDeiPiccoli_1909_annoI-n51-10.jpg,CorriereDeiPiccoli,1909,annoI-n51-10,7.0,0.622
CorriereDeiPiccoli_1909_annoI-n10-18.jpg,CorriereDeiPiccoli,1909,annoI-n10-18,9.0,0.623
CorriereDeiPiccoli_1916_annoVIII-n45-10.jpg,CorriereDeiPiccoli,1916,annoVIII-n45-10,7.0,0.26
CorriereDeiPiccoli_1910_annoII-n30-14.jpg,CorriereDeiPiccoli,1910,annoII-n30-14,2.0,0.151
CorriereDeiPiccoli_1909_annoI-n10-16.jpg,CorriereDeiPiccoli,1909,annoI-n10-16,4.0,0.317
CorriereDeiPiccoli_1913_annoV-n41-10.jpg,CorriereDeiPiccoli,1913,annoV-n41-10,7.0,0.72
CorriereDeiPiccoli_1916_annoVIII-n11-16.jpg,CorriereDeiPiccoli,1916,annoVIII-n11-16,7.0,0.719
CorriereDeiPiccoli_1910_annoII-n42-20.jpg,CorriereDeiPiccoli,1910,annoII-n42-20,9.0,0.112
CorriereDeiPiccoli_1913_annoV-n50-19.jpg,CorriereDeiPiccoli,1913,annoV-n50-19,4.0,0.057
CorriereDeiPiccoli_1913_annoV-n32-09.jpg,CorriereDeiPiccoli,1913,annoV-n32-09,9.0,0.474
CorriereDeiPiccoli_1909_annoI-n4-02.jpg,CorriereDeiPiccoli,1909,annoI-n4-02,7.0,0.575
