annotated_image,periodic,year,id,n_images,area_percentage
Donna_1913_3-009.jpg,Donna,1913,3-009,2.0,0.609
Donna_1910_5-090.jpg,Donna,1910,5-090,4.0,0.222
Donna_1908_2-028.jpg,Donna,1908,2-028,0.0,0.0
Donna_1910_3-045.jpg,Donna,1910,3-045,0.0,0.0
Donna_1914_7-020.jpg,Donna,1914,7-020,7.0,0.284
Donna_1914_4-063.jpg,Donna,1914,4-063,3.0,0.167
Donna_1908_7-015.jpg,Donna,1908,7-015,6.0,0.253
Donna_1914_6-060.jpg,Donna,1914,6-060,8.0,0.183
Donna_1908_2-001.jpg,Donna,1908,2-001,1.0,0.69
Donna_1916_3-049.jpg,Donna,1916,3-049,6.0,0.272
Donna_1916_1-008.jpg,Donna,1916,1-008,0.0,0.0
Donna_1916_5-050.jpg,Donna,1916,5-050,1.0,0.342
Donna_1908_4-084.jpg,Donna,1908,4-084,1.0,0.681
Donna_1909_3-094.jpg,Donna,1909,3-094,4.0,0.325
Donna_1908_7-091.jpg,Donna,1908,7-091,3.0,0.204
Donna_1910_5-031.jpg,Donna,1910,5-031,2.0,0.546
Donna_1908_7-032.jpg,Donna,1908,7-032,1.0,0.534
Donna_1914_6-040.jpg,Donna,1914,6-040,1.0,0.471
Donna_1910_4-037.jpg,Donna,1910,4-037,12.0,0.572
Donna_1916_1-026.jpg,Donna,1916,1-026,3.0,0.029
Donna_1907_5-39.jpg,Donna,1907,5-39,6.0,0.235
Donna_1908_4-039.jpg,Donna,1908,4-039,2.0,0.706
Donna_1916_1-017.jpg,Donna,1916,1-017,6.0,0.219
Donna_1906_5-0021.jpg,Donna,1906,5-0021,1.0,0.045
Donna_1910_2-030.jpg,Donna,1910,2-030,3.0,0.065
Donna_1909_3-011.jpg,Donna,1909,3-011,4.0,0.264
Donna_1907_8-84.jpg,Donna,1907,8-84,4.0,0.102
Donna_1916_4-098.jpg,Donna,1916,4-098,0.0,0.0
Donna_1916_3-083.jpg,Donna,1916,3-083,4.0,0.197
Donna_1913_9-16.jpg,Donna,1913,9-16,0.0,0.0
Donna_1909_2-066.jpg,Donna,1909,2-066,6.0,0.763
Donna_1907_7-35.jpg,Donna,1907,7-35,5.0,0.165
Donna_1913_3-080.jpg,Donna,1913,3-080,4.0,0.083
Donna_1907_5-46.jpg,Donna,1907,5-46,1.0,0.08
Donna_1913_1-054.jpg,Donna,1913,1-054,4.0,0.332
Donna_1907_2-45.jpg,Donna,1907,2-45,5.0,0.294
Donna_1907_8-26.jpg,Donna,1907,8-26,3.0,0.179
Donna_1916_4-023.jpg,Donna,1916,4-023,1.0,0.979
Donna_1913_4-040.jpg,Donna,1913,4-040,8.0,0.335
Donna_1907_6-015.jpg,Donna,1907,6-015,3.0,0.106
Donna_1913_7-047.jpg,Donna,1913,7-047,3.0,0.238
Donna_1916_1-086.jpg,Donna,1916,1-086,4.0,0.453
Donna_1910_2-020.jpg,Donna,1910,2-020,1.0,0.727
Donna_1914_8-38.jpg,Donna,1914,8-38,2.0,0.021
Donna_1914_7-070.jpg,Donna,1914,7-070,0.0,0.0
Donna_1909_3-046.jpg,Donna,1909,3-046,1.0,0.706
Donna_1914_3-052.jpg,Donna,1914,3-052,3.0,0.311
Donna_1906_3-0090.jpg,Donna,1906,3-0090,3.0,0.244
Donna_1907_10-07.jpg,Donna,1907,10-07,6.0,0.291
Donna_1916_1-001.jpg,Donna,1916,1-001,1.0,1.0
Donna_1906_2-0001.jpg,Donna,1906,2-0001,4.0,0.226
Donna_1908_8-010.jpg,Donna,1908,8-010,10.0,0.318
Donna_1909_1-056.jpg,Donna,1909,1-056,3.0,0.237
Donna_1913_5-070.jpg,Donna,1913,5-070,2.0,0.224
Donna_1907_1-0024.jpg,Donna,1907,1-0024,3.0,0.094
Donna_1914_8-70.jpg,Donna,1914,8-70,4.0,0.606
Donna_1908_2-010.jpg,Donna,1908,2-010,5.0,0.598
Donna_1907_1-0002.jpg,Donna,1907,1-0002,1.0,0.011
Donna_1913_8-080.jpg,Donna,1913,8-080,4.0,0.486
Donna_1916_5-081.jpg,Donna,1916,5-081,6.0,0.476
Donna_1910_2-044.jpg,Donna,1910,2-044,3.0,0.279
Donna_1913_2-032.jpg,Donna,1913,2-032,4.0,0.157
Donna_1910_1-082.jpg,Donna,1910,1-082,1.0,0.801
Donna_1906_2-0077.jpg,Donna,1906,2-0077,5.0,0.17
Donna_1914_5-026.jpg,Donna,1914,5-026,2.0,0.273
Donna_1914_3-096.jpg,Donna,1914,3-096,2.0,0.646
Donna_1907_7-84.jpg,Donna,1907,7-84,1.0,0.311
Donna_1913_8-050.jpg,Donna,1913,8-050,3.0,0.1
Donna_1914_3-045.jpg,Donna,1914,3-045,8.0,0.091
Donna_1914_1-017.jpg,Donna,1914,1-017,1.0,0.336
Donna_1910_1-035.jpg,Donna,1910,1-035,2.0,0.551
Donna_1914_5-061.jpg,Donna,1914,5-061,6.0,0.173
Donna_1913_4-093.jpg,Donna,1913,4-093,10.0,0.342
Donna_1910_6-029.jpg,Donna,1910,6-029,5.0,0.911
Donna_1909_2-058.jpg,Donna,1909,2-058,3.0,0.22
Donna_1908_3-047.jpg,Donna,1908,3-047,2.0,0.187
Donna_1910_2-050.jpg,Donna,1910,2-050,1.0,0.003
Donna_1908_8-049.jpg,Donna,1908,8-049,1.0,0.003
Donna_1906_1-0038.jpg,Donna,1906,1-0038,2.0,0.045
Donna_1907_2-30.jpg,Donna,1907,2-30,6.0,0.29
Donna_1908_7-008.jpg,Donna,1908,7-008,5.0,0.213
Donna_1913_5-097.jpg,Donna,1913,5-097,8.0,0.428
Donna_1907_8-44.jpg,Donna,1907,8-44,6.0,0.105
Donna_1908_3-019.jpg,Donna,1908,3-019,6.0,0.108
Donna_1914_3-069.jpg,Donna,1914,3-069,1.0,0.006
Donna_1913_2-088.jpg,Donna,1913,2-088,1.0,0.625
Donna_1913_3-057.jpg,Donna,1913,3-057,2.0,0.164
Donna_1910_9-07.jpg,Donna,1910,9-07,1.0,0.106
Donna_1913_4-083.jpg,Donna,1913,4-083,5.0,0.195
Donna_1914_7-010.jpg,Donna,1914,7-010,3.0,0.115
Donna_1910_3-022.jpg,Donna,1910,3-022,5.0,0.289
Donna_1914_5-018.jpg,Donna,1914,5-018,7.0,0.454
Donna_1908_1-044.jpg,Donna,1908,1-044,7.0,0.62
Donna_1908_6-038.jpg,Donna,1908,6-038,10.0,0.285
Donna_1913_7-062.jpg,Donna,1913,7-062,5.0,0.098
Donna_1916_1-013.jpg,Donna,1916,1-013,3.0,0.519
Donna_1907_1-0063.jpg,Donna,1907,1-0063,2.0,0.342
Donna_1908_4-055.jpg,Donna,1908,4-055,5.0,0.049
Donna_1908_8-018.jpg,Donna,1908,8-018,1.0,0.034
Donna_1906_4-0071.jpg,Donna,1906,4-0071,4.0,0.672
Donna_1913_4-012.jpg,Donna,1913,4-012,3.0,0.065
Donna_1908_1-034.jpg,Donna,1908,1-034,3.0,0.136
Donna_1916_4-008.jpg,Donna,1916,4-008,3.0,0.154
Donna_1916_3-026.jpg,Donna,1916,3-026,1.0,0.053
Donna_1907_5-55.jpg,Donna,1907,5-55,2.0,0.555
Donna_1913_7-012.jpg,Donna,1913,7-012,5.0,0.117
Donna_1916_4-043.jpg,Donna,1916,4-043,5.0,0.221
Donna_1913_6-065.jpg,Donna,1913,6-065,2.0,0.023
Donna_1910_3-080.jpg,Donna,1910,3-080,6.0,0.252
Donna_1910_1-030.jpg,Donna,1910,1-030,1.0,0.003
Donna_1916_3-002.jpg,Donna,1916,3-002,4.0,0.148
Donna_1913_6-024.jpg,Donna,1913,6-024,9.0,0.189
Donna_1907_4-45.jpg,Donna,1907,4-45,2.0,0.108
Donna_1913_4-053.jpg,Donna,1913,4-053,1.0,0.212
Donna_1908_6-028.jpg,Donna,1908,6-028,4.0,0.185
Donna_1909_4-33.jpg,Donna,1909,4-33,2.0,0.037
Donna_1913_5-067.jpg,Donna,1913,5-067,5.0,0.359
Donna_1906_1-0031.jpg,Donna,1906,1-0031,1.0,0.114
Donna_1908_4-073.jpg,Donna,1908,4-073,1.0,0.416
Donna_1910_8-083.jpg,Donna,1910,8-083,3.0,0.221
Donna_1909_2-022.jpg,Donna,1909,2-022,1.0,0.737
Donna_1909_1-027.jpg,Donna,1909,1-027,1.0,0.001
Donna_1908_7-097.jpg,Donna,1908,7-097,4.0,0.667
Donna_1906_3-0091.jpg,Donna,1906,3-0091,4.0,0.085
Donna_1914_1-069.jpg,Donna,1914,1-069,2.0,0.612
Donna_1913_1-064.jpg,Donna,1913,1-064,2.0,0.712
Donna_1907_7-87.jpg,Donna,1907,7-87,4.0,0.219
Donna_1908_1-098.jpg,Donna,1908,1-098,1.0,0.029
Donna_1909_2-069.jpg,Donna,1909,2-069,0.0,0.0
Donna_1913_2-039.jpg,Donna,1913,2-039,4.0,0.497
Donna_1910_9-11.jpg,Donna,1910,9-11,1.0,0.999
Donna_1907_4-61.jpg,Donna,1907,4-61,7.0,0.159
Donna_1914_2-030.jpg,Donna,1914,2-030,9.0,0.336
Donna_1910_1-029.jpg,Donna,1910,1-029,7.0,0.113
Donna_1907_6-074.jpg,Donna,1907,6-074,2.0,0.228
Donna_1908_8-095.jpg,Donna,1908,8-095,6.0,0.27
Donna_1910_4-070.jpg,Donna,1910,4-070,5.0,0.318
Donna_1908_1-015.jpg,Donna,1908,1-015,1.0,0.098
Donna_1906_4-0066.jpg,Donna,1906,4-0066,2.0,0.068
Donna_1914_8-32.jpg,Donna,1914,8-32,5.0,0.065
Donna_1914_1-035.jpg,Donna,1914,1-035,10.0,0.128
Donna_1908_5-42.jpg,Donna,1908,5-42,3.0,0.252
Donna_1914_4-075.jpg,Donna,1914,4-075,5.0,0.332
Donna_1906_4-0054.jpg,Donna,1906,4-0054,4.0,0.335
Donna_1906_2-0017.jpg,Donna,1906,2-0017,3.0,0.086
Donna_1914_7-052.jpg,Donna,1914,7-052,7.0,0.565
Donna_1907_7-57.jpg,Donna,1907,7-57,6.0,0.095
Donna_1910_2-016.jpg,Donna,1910,2-016,1.0,0.003
Donna_1907_8-95.jpg,Donna,1907,8-95,3.0,0.102
Donna_1914_6-017.jpg,Donna,1914,6-017,5.0,0.152
Donna_1907_6-007.jpg,Donna,1907,6-007,3.0,0.213
Donna_1913_7-010.jpg,Donna,1913,7-010,1.0,0.859
Donna_1914_1-042.jpg,Donna,1914,1-042,6.0,0.316
Donna_1909_1-008.jpg,Donna,1909,1-008,0.0,0.0
Donna_1907_9-065.jpg,Donna,1907,9-065,2.0,0.149
Donna_1907_6-068.jpg,Donna,1907,6-068,4.0,0.214
Donna_1908_4-040.jpg,Donna,1908,4-040,1.0,0.065
Donna_1909_3-100.jpg,Donna,1909,3-100,5.0,0.283
Donna_1913_1-006.jpg,Donna,1913,1-006,6.0,0.386
Donna_1910_6-046.jpg,Donna,1910,6-046,1.0,0.01
Donna_1908_5-38.jpg,Donna,1908,5-38,3.0,0.139
Donna_1906_1-0007.jpg,Donna,1906,1-0007,2.0,0.761
Donna_1907_3-30.jpg,Donna,1907,3-30,3.0,0.239
Donna_1913_6-036.jpg,Donna,1913,6-036,1.0,0.069
Donna_1906_4-0063.jpg,Donna,1906,4-0063,6.0,0.27
Donna_1908_9-092.jpg,Donna,1908,9-092,5.0,0.521
Donna_1914_7-093.jpg,Donna,1914,7-093,1.0,0.327
Donna_1913_1-014.jpg,Donna,1913,1-014,2.0,0.031
Donna_1914_7-062.jpg,Donna,1914,7-062,1.0,0.634
Donna_1908_4-046.jpg,Donna,1908,4-046,5.0,0.438
Donna_1907_4-75.jpg,Donna,1907,4-75,3.0,0.11
Donna_1913_6-012.jpg,Donna,1913,6-012,1.0,0.556
Donna_1907_8-63.jpg,Donna,1907,8-63,4.0,0.205
Donna_1907_2-17.jpg,Donna,1907,2-17,1.0,0.005
Donna_1913_7-023.jpg,Donna,1913,7-023,1.0,0.078
Donna_1910_6-095.jpg,Donna,1910,6-095,1.0,0.327
Donna_1906_5-0036.jpg,Donna,1906,5-0036,5.0,0.21
Donna_1908_8-015.jpg,Donna,1908,8-015,1.0,0.095
Donna_1914_6-006.jpg,Donna,1914,6-006,3.0,0.287
Donna_1908_3-010.jpg,Donna,1908,3-010,1.0,0.017
Donna_1914_1-018.jpg,Donna,1914,1-018,3.0,0.275
Donna_1913_6-071.jpg,Donna,1913,6-071,3.0,0.342
Donna_1916_2-078.jpg,Donna,1916,2-078,1.0,0.203
Donna_1907_9-001.jpg,Donna,1907,9-001,6.0,0.127
Donna_1907_6-088.jpg,Donna,1907,6-088,4.0,0.353
Donna_1910_7-086.jpg,Donna,1910,7-086,3.0,0.177
Donna_1907_9-055.jpg,Donna,1907,9-055,3.0,0.174
Donna_1913_5-003.jpg,Donna,1913,5-003,6.0,0.095
Donna_1906_1-0080.jpg,Donna,1906,1-0080,4.0,0.167
Donna_1906_1-0086.jpg,Donna,1906,1-0086,3.0,0.065
Donna_1907_3-80.jpg,Donna,1907,3-80,2.0,0.067
Donna_1913_1-090.jpg,Donna,1913,1-090,8.0,0.302
Donna_1913_2-054.jpg,Donna,1913,2-054,3.0,0.576
Donna_1914_6-005.jpg,Donna,1914,6-005,1.0,0.303
Donna_1909_3-058.jpg,Donna,1909,3-058,2.0,0.11
Donna_1914_6-074.jpg,Donna,1914,6-074,3.0,0.337
Donna_1914_7-088.jpg,Donna,1914,7-088,2.0,0.564
Donna_1909_4-44.jpg,Donna,1909,4-44,6.0,0.639
Donna_1906_3-0040.jpg,Donna,1906,3-0040,2.0,0.108
Donna_1914_8-40.jpg,Donna,1914,8-40,5.0,0.355
Donna_1910_1-003.jpg,Donna,1910,1-003,1.0,0.999
Donna_1914_1-011.jpg,Donna,1914,1-011,1.0,0.288
Donna_1908_6-072.jpg,Donna,1908,6-072,1.0,0.473
Donna_1908_1-073.jpg,Donna,1908,1-073,3.0,0.2
Donna_1916_4-097.jpg,Donna,1916,4-097,2.0,0.028
Donna_1916_5-084.jpg,Donna,1916,5-084,1.0,0.155
Donna_1908_7-076.jpg,Donna,1908,7-076,9.0,0.254
Donna_1907_3-14.jpg,Donna,1907,3-14,2.0,0.243
Donna_1914_4-055.jpg,Donna,1914,4-055,4.0,0.344
Donna_1906_2-0098.jpg,Donna,1906,2-0098,5.0,0.142
Donna_1910_1-039.jpg,Donna,1910,1-039,3.0,0.008
Donna_1908_9-004.jpg,Donna,1908,9-004,1.0,0.681
Donna_1906_5-0062.jpg,Donna,1906,5-0062,2.0,0.134
Donna_1906_3-0020.jpg,Donna,1906,3-0020,2.0,0.293
Donna_1908_3-052.jpg,Donna,1908,3-052,1.0,0.586
Donna_1907_6-053.jpg,Donna,1907,6-053,2.0,0.047
Donna_1913_1-027.jpg,Donna,1913,1-027,3.0,0.224
Donna_1913_3-040.jpg,Donna,1913,3-040,1.0,0.046
Donna_1916_2-046.jpg,Donna,1916,2-046,6.0,0.138
Donna_1910_8-053.jpg,Donna,1910,8-053,1.0,0.017
Donna_1913_5-095.jpg,Donna,1913,5-095,2.0,0.115
Donna_1908_6-019.jpg,Donna,1908,6-019,7.0,0.68
Donna_1913_1-003.jpg,Donna,1913,1-003,1.0,0.998
Donna_1914_2-067.jpg,Donna,1914,2-067,3.0,0.07
Donna_1907_3-79.jpg,Donna,1907,3-79,3.0,0.768
Donna_1906_2-0026.jpg,Donna,1906,2-0026,1.0,0.187
Donna_1907_7-99.jpg,Donna,1907,7-99,1.0,0.094
Donna_1910_3-048.jpg,Donna,1910,3-048,5.0,0.387
Donna_1909_1-074.jpg,Donna,1909,1-074,1.0,0.102
Donna_1913_8-039.jpg,Donna,1913,8-039,3.0,0.177
Donna_1908_1-023.jpg,Donna,1908,1-023,3.0,0.019
Donna_1908_1-085.jpg,Donna,1908,1-085,5.0,0.213
Donna_1913_9-45.jpg,Donna,1913,9-45,1.0,0.183
Donna_1913_1-080.jpg,Donna,1913,1-080,2.0,0.021
Donna_1907_7-17.jpg,Donna,1907,7-17,3.0,0.034
Donna_1910_2-014.jpg,Donna,1910,2-014,6.0,0.325
Donna_1913_5-037.jpg,Donna,1913,5-037,3.0,0.215
Donna_1914_6-095.jpg,Donna,1914,6-095,7.0,0.41
Donna_1907_4-63.jpg,Donna,1907,4-63,4.0,0.214
Donna_1914_2-043.jpg,Donna,1914,2-043,5.0,0.432
Donna_1910_8-059.jpg,Donna,1910,8-059,4.0,0.236
Donna_1908_5-25.jpg,Donna,1908,5-25,4.0,0.119
Donna_1907_7-21.jpg,Donna,1907,7-21,5.0,0.109
Donna_1908_8-062.jpg,Donna,1908,8-062,4.0,0.391
Donna_1910_1-050.jpg,Donna,1910,1-050,3.0,0.029
Donna_1914_4-078.jpg,Donna,1914,4-078,6.0,0.111
Donna_1907_9-044.jpg,Donna,1907,9-044,2.0,0.369
Donna_1916_2-032.jpg,Donna,1916,2-032,3.0,0.343
Donna_1907_3-31.jpg,Donna,1907,3-31,1.0,0.152
Donna_1906_5-0083.jpg,Donna,1906,5-0083,8.0,0.234
Donna_1913_8-043.jpg,Donna,1913,8-043,3.0,0.385
Donna_1916_3-028.jpg,Donna,1916,3-028,6.0,0.193
Donna_1913_6-029.jpg,Donna,1913,6-029,4.0,0.08
Donna_1907_6-081.jpg,Donna,1907,6-081,3.0,0.077
Donna_1909_3-053.jpg,Donna,1909,3-053,5.0,0.148
Donna_1913_9-37.jpg,Donna,1913,9-37,9.0,0.248
Donna_1908_1-063.jpg,Donna,1908,1-063,4.0,0.549
Donna_1908_2-077.jpg,Donna,1908,2-077,3.0,0.452
Donna_1914_7-001.jpg,Donna,1914,7-001,4.0,0.285
Donna_1908_9-058.jpg,Donna,1908,9-058,8.0,0.566
Donna_1910_7-041.jpg,Donna,1910,7-041,2.0,0.48
Donna_1910_6-012.jpg,Donna,1910,6-012,6.0,0.421
Donna_1906_1-0019.jpg,Donna,1906,1-0019,5.0,0.198
Donna_1913_8-090.jpg,Donna,1913,8-090,5.0,0.264
Donna_1913_1-079.jpg,Donna,1913,1-079,3.0,0.312
Donna_1908_3-069.jpg,Donna,1908,3-069,2.0,0.108
Donna_1906_4-0008.jpg,Donna,1906,4-0008,3.0,0.076
Donna_1907_8-31.jpg,Donna,1907,8-31,2.0,0.093
Donna_1910_6-016.jpg,Donna,1910,6-016,2.0,0.123
Donna_1909_4-74.jpg,Donna,1909,4-74,8.0,0.385
Donna_1910_1-059.jpg,Donna,1910,1-059,12.0,0.564
Donna_1906_3-0005.jpg,Donna,1906,3-0005,5.0,0.324
Donna_1916_3-031.jpg,Donna,1916,3-031,3.0,0.468
Donna_1916_4-074.jpg,Donna,1916,4-074,8.0,0.241
Donna_1907_9-063.jpg,Donna,1907,9-063,0.0,0.0
Donna_1909_4-53.jpg,Donna,1909,4-53,2.0,0.548
Donna_1906_2-0073.jpg,Donna,1906,2-0073,6.0,0.226
Donna_1906_4-0017.jpg,Donna,1906,4-0017,10.0,0.105
Donna_1913_9-08.jpg,Donna,1913,9-08,7.0,0.277
Donna_1909_3-048.jpg,Donna,1909,3-048,8.0,0.522
Donna_1907_7-13.jpg,Donna,1907,7-13,4.0,0.122
Donna_1916_1-054.jpg,Donna,1916,1-054,6.0,0.126
Donna_1916_3-051.jpg,Donna,1916,3-051,1.0,0.766
Donna_1914_3-017.jpg,Donna,1914,3-017,1.0,0.261
Donna_1907_3-50.jpg,Donna,1907,3-50,2.0,0.759
Donna_1910_4-016.jpg,Donna,1910,4-016,1.0,0.68
Donna_1910_3-081.jpg,Donna,1910,3-081,2.0,0.022
Donna_1907_7-3.jpg,Donna,1907,7-3,1.0,0.18
Donna_1906_2-0050.jpg,Donna,1906,2-0050,9.0,0.333
Donna_1910_5-030.jpg,Donna,1910,5-030,5.0,0.231
Donna_1908_1-056.jpg,Donna,1908,1-056,5.0,0.253
Donna_1910_7-092.jpg,Donna,1910,7-092,4.0,0.227
Donna_1910_2-100.jpg,Donna,1910,2-100,1.0,0.266
Donna_1914_1-091.jpg,Donna,1914,1-091,4.0,0.406
Donna_1910_5-063.jpg,Donna,1910,5-063,1.0,0.085
Donna_1910_5-066.jpg,Donna,1910,5-066,4.0,0.3
Donna_1906_1-0070.jpg,Donna,1906,1-0070,2.0,0.237
Donna_1910_3-062.jpg,Donna,1910,3-062,4.0,0.111
Donna_1910_1-098.jpg,Donna,1910,1-098,11.0,0.449
Donna_1913_5-076.jpg,Donna,1913,5-076,2.0,0.232
Donna_1914_6-090.jpg,Donna,1914,6-090,8.0,0.418
Donna_1907_6-044.jpg,Donna,1907,6-044,6.0,0.364
Donna_1908_9-070.jpg,Donna,1908,9-070,4.0,0.796
Donna_1908_2-100.jpg,Donna,1908,2-100,4.0,0.163
Donna_1910_6-071.jpg,Donna,1910,6-071,3.0,0.733
Donna_1916_1-091.jpg,Donna,1916,1-091,2.0,0.031
Donna_1914_3-075.jpg,Donna,1914,3-075,4.0,0.076
Donna_1910_6-045.jpg,Donna,1910,6-045,1.0,0.04
Donna_1907_7-93.jpg,Donna,1907,7-93,2.0,0.13
Donna_1909_2-090.jpg,Donna,1909,2-090,4.0,0.688
Donna_1908_1-060.jpg,Donna,1908,1-060,5.0,0.289
Donna_1916_2-062.jpg,Donna,1916,2-062,3.0,0.31
Donna_1907_3-18.jpg,Donna,1907,3-18,2.0,0.15
Donna_1908_5-18.jpg,Donna,1908,5-18,4.0,0.28
Donna_1908_7-093.jpg,Donna,1908,7-093,3.0,0.122
Donna_1913_2-066.jpg,Donna,1913,2-066,5.0,0.255
Donna_1908_6-082.jpg,Donna,1908,6-082,3.0,0.114
Donna_1914_6-034.jpg,Donna,1914,6-034,7.0,0.444
Donna_1906_4-0046.jpg,Donna,1906,4-0046,3.0,0.197
Donna_1914_8-01.jpg,Donna,1914,8-01,2.0,0.004
Donna_1908_2-017.jpg,Donna,1908,2-017,1.0,0.59
Donna_1914_7-098.jpg,Donna,1914,7-098,4.0,1.047
Donna_1906_5-0075.jpg,Donna,1906,5-0075,1.0,0.111
Donna_1914_3-003.jpg,Donna,1914,3-003,2.0,0.607
Donna_1909_4-16.jpg,Donna,1909,4-16,4.0,0.055
Donna_1913_2-091.jpg,Donna,1913,2-091,5.0,0.216
Donna_1914_7-019.jpg,Donna,1914,7-019,1.0,0.04
Donna_1908_3-085.jpg,Donna,1908,3-085,1.0,0.371
Donna_1910_4-071.jpg,Donna,1910,4-071,4.0,0.287
