annotated_image,periodic,year,id,n_images,area_percentage
Donna_1907_annoIII-n60-20giu-07.jpg,Donna,1907,annoIII-n60-20giu-07,1.0,0.412
Donna_1909_annoV-n98-20gen-038.jpg,Donna,1909,annoV-n98-20gen-038,3.0,0.698
Donna_1910_annoVI-n124-20feb-099.jpg,Donna,1910,annoVI-n124-20feb-099,5.0,0.41
Donna_1916_annoXII-n275-5giu-3-067.jpg,Donna,1916,annoXII-n275-5giu-3-067,4.0,0.162
Donna_1913_annoIX-n197-5mar-046.jpg,Donna,1913,annoIX-n197-5mar-046,4.0,0.193
Donna_1914_annoX-n218-20gen-1-051.jpg,Donna,1914,annoX-n218-20gen-1-051,5.0,0.292
Donna_1906_annoII-n31-5apr15.jpg,Donna,1906,annoII-n31-5apr15,1.0,0.183
Donna_1910_annoVI-n127-5apr-086.jpg,Donna,1910,annoVI-n127-5apr-086,10.0,0.379
Donna_1913_annoIX-n211-5ott-7-017.jpg,Donna,1913,annoIX-n211-5ott-7-017,5.0,0.215
Donna_1910_annoVI-n142-20nov-080.jpg,Donna,1910,annoVI-n142-20nov-080,2.0,0.096
Donna_1908_annoIV-n75-20feb-100.jpg,Donna,1908,annoIV-n75-20feb-100,3.0,0.47
Donna_1913_annoIX-n193-5gen-017.jpg,Donna,1913,annoIX-n193-5gen-017,4.0,0.345
Donna_1914_annoX-n231-5ago-6-010.jpg,Donna,1914,annoX-n231-5ago-6-010,6.0,0.46
Donna_1916_annoXII-n276-20giu-3-096.jpg,Donna,1916,annoXII-n276-20giu-3-096,5.0,0.183
Donna_1908_annoIV-n87-5ago-044.jpg,Donna,1908,annoIV-n87-5ago-044,3.0,0.079
Donna_1910_annoVI-n134-20lug-022.jpg,Donna,1910,annoVI-n134-20lug-022,2.0,0.043
Donna_1907_annoIII-n72-25dic-070.jpg,Donna,1907,annoIII-n72-25dic-070,1.0,0.684
Donna_1908_annoIV-n81-5mag-099.jpg,Donna,1908,annoIV-n81-5mag-099,1.0,0.003
Donna_1908_annoIV-n79-5apr-052.jpg,Donna,1908,annoIV-n79-5apr-052,1.0,0.574
Donna_1907_annoIII-n60-20giu-31.jpg,Donna,1907,annoIII-n60-20giu-31,5.0,0.403
Donna_1914_annoX-n238-20nov-8-10.jpg,Donna,1914,annoX-n238-20nov-8-10,4.0,0.278
Donna_1916_annoXII-n266-20gen-1-045.jpg,Donna,1916,annoXII-n266-20gen-1-045,2.0,0.128
Donna_1913_annoIX-n197-5mar-053.jpg,Donna,1913,annoIX-n197-5mar-053,1.0,0.239
Donna_1913_annoIX-n199-5apr-096.jpg,Donna,1913,annoIX-n199-5apr-096,4.0,0.073
Donna_1908_annoIV-n82-20mag-005.jpg,Donna,1908,annoIV-n82-20mag-005,3.0,0.043
Donna_1906_annoII-n33-5mag38.jpg,Donna,1906,annoII-n33-5mag38,4.0,0.562
Donna_1910_annoVI-n134-20lug-039.jpg,Donna,1910,annoVI-n134-20lug-039,4.0,0.231
Donna_1910_annoVI-n135-5ago-058.jpg,Donna,1910,annoVI-n135-5ago-058,5.0,0.192
