annotated_image,periodic,year,id,n_images,area_percentage
GrandeIllustrazione_1914_mag-pag2.png,GrandeIllustrazione,1914,mag-pag2.png,5.0,0.512
GrandeIllustrazione_1914_feb-pag10.png,GrandeIllustrazione,1914,feb-pag10.png,1.0,0.403
GrandeIllustrazione_1914_feb-pag5.png,GrandeIllustrazione,1914,feb-pag5.png,2.0,0.078
GrandeIllustrazione_1914_mag-pag10.png,GrandeIllustrazione,1914,mag-pag10.png,2.0,0.231
GrandeIllustrazione_1914_feb-pag17.png,GrandeIllustrazione,1914,feb-pag17.png,3.0,0.161
GrandeIllustrazione_1914_feb-pag24.png,GrandeIllustrazione,1914,feb-pag24.png,1.0,0.478
GrandeIllustrazione_1914_feb-pag7.png,GrandeIllustrazione,1914,feb-pag7.png,2.0,0.422
GrandeIllustrazione_1914_feb-pag2.png,GrandeIllustrazione,1914,feb-pag2.png,4.0,0.506
GrandeIllustrazione_1914_mag-pag4.png,GrandeIllustrazione,1914,mag-pag4.png,2.0,0.106
GrandeIllustrazione_1914_feb-pag25.png,GrandeIllustrazione,1914,feb-pag25.png,1.0,0.997
GrandeIllustrazione_1914_feb-pag1.png,GrandeIllustrazione,1914,feb-pag1.png,1.0,1.0
GrandeIllustrazione_1914_mag-pag25.png,GrandeIllustrazione,1914,mag-pag25.png,1.0,0.999
GrandeIllustrazione_1914_feb-pag14.png,GrandeIllustrazione,1914,feb-pag14.png,2.0,0.297
GrandeIllustrazione_1914_feb-pag3.png,GrandeIllustrazione,1914,feb-pag3.png,1.0,0.032
GrandeIllustrazione_1914_feb-pag12.png,GrandeIllustrazione,1914,feb-pag12.png,2.0,0.053
GrandeIllustrazione_1914_feb-pag11.png,GrandeIllustrazione,1914,feb-pag11.png,2.0,0.264
GrandeIllustrazione_1914_feb-pag23.png,GrandeIllustrazione,1914,feb-pag23.png,1.0,0.168
GrandeIllustrazione_1914_mag-pag7.png,GrandeIllustrazione,1914,mag-pag7.png,1.0,0.208
GrandeIllustrazione_1914_feb-pag18.png,GrandeIllustrazione,1914,feb-pag18.png,2.0,0.33
GrandeIllustrazione_1914_mag-pag16.png,GrandeIllustrazione,1914,mag-pag16.png,2.0,0.128
GrandeIllustrazione_1914_feb-pag21.png,GrandeIllustrazione,1914,feb-pag21.png,3.0,0.258
GrandeIllustrazione_1914_mag-pag3.png,GrandeIllustrazione,1914,mag-pag3.png,1.0,0.331
GrandeIllustrazione_1914_mag-pag23.png,GrandeIllustrazione,1914,mag-pag23.png,1.0,0.157
GrandeIllustrazione_1914_feb-pag4.png,GrandeIllustrazione,1914,feb-pag4.png,2.0,0.814
GrandeIllustrazione_1914_mag-pag14.png,GrandeIllustrazione,1914,mag-pag14.png,3.0,0.164
GrandeIllustrazione_1914_feb-pag16.png,GrandeIllustrazione,1914,feb-pag16.png,3.0,0.877
GrandeIllustrazione_1914_feb-pag15.png,GrandeIllustrazione,1914,feb-pag15.png,1.0,0.253
GrandeIllustrazione_1914_mag-pag11.png,GrandeIllustrazione,1914,mag-pag11.png,1.0,0.072
GrandeIllustrazione_1914_feb-pag20.png,GrandeIllustrazione,1914,feb-pag20.png,3.0,0.488
GrandeIllustrazione_1914_mag-pag12.png,GrandeIllustrazione,1914,mag-pag12.png,3.0,0.025
GrandeIllustrazione_1914_feb-pag13.png,GrandeIllustrazione,1914,feb-pag13.png,0.0,0.0
GrandeIllustrazione_1914_feb-pag6.png,GrandeIllustrazione,1914,feb-pag6.png,2.0,0.082
GrandeIllustrazione_1914_mag-pag19.png,GrandeIllustrazione,1914,mag-pag19.png,2.0,0.082
GrandeIllustrazione_1914_mag-pag1.png,GrandeIllustrazione,1914,mag-pag1.png,1.0,0.999
GrandeIllustrazione_1914_mag-pag8.png,GrandeIllustrazione,1914,mag-pag8.png,2.0,0.072
GrandeIllustrazione_1914_mag-pag18.png,GrandeIllustrazione,1914,mag-pag18.png,2.0,0.216
GrandeIllustrazione_1914_mag-pag20.png,GrandeIllustrazione,1914,mag-pag20.png,4.0,0.131
GrandeIllustrazione_1914_feb-pag8.png,GrandeIllustrazione,1914,feb-pag8.png,6.0,0.588
GrandeIllustrazione_1914_mag-pag5.png,GrandeIllustrazione,1914,mag-pag5.png,3.0,0.117
GrandeIllustrazione_1914_mag-pag6.png,GrandeIllustrazione,1914,mag-pag6.png,3.0,0.092
GrandeIllustrazione_1914_mag-pag9.png,GrandeIllustrazione,1914,mag-pag9.png,2.0,0.522
GrandeIllustrazione_1914_mag-pag17.png,GrandeIllustrazione,1914,mag-pag17.png,1.0,0.076
GrandeIllustrazione_1914_mag-pag22.png,GrandeIllustrazione,1914,mag-pag22.png,2.0,0.069
GrandeIllustrazione_1914_mag-pag24.png,GrandeIllustrazione,1914,mag-pag24.png,1.0,0.455
GrandeIllustrazione_1914_mag-pag13.png,GrandeIllustrazione,1914,mag-pag13.png,2.0,0.013
GrandeIllustrazione_1914_feb-pag19.png,GrandeIllustrazione,1914,feb-pag19.png,2.0,0.267
GrandeIllustrazione_1914_mag-pag21.png,GrandeIllustrazione,1914,mag-pag21.png,2.0,0.27
GrandeIllustrazione_1914_feb-pag22.png,GrandeIllustrazione,1914,feb-pag22.png,3.0,0.536
GrandeIllustrazione_1914_mag-pag15.png,GrandeIllustrazione,1914,mag-pag15.png,1.0,0.303
GrandeIllustrazione_1914_feb-pag9.png,GrandeIllustrazione,1914,feb-pag9.png,6.0,0.04
