annotated_image,periodic,year,id,n_images,area_percentage
GrandeIllustrazione_1914_feb-pag29.jpg,GrandeIllustrazione,1914,feb-pag29,2.0,0.462
GrandeIllustrazione_1914_mag-pag11.jpg,GrandeIllustrazione,1914,mag-pag11,2.0,0.036
GrandeIllustrazione_1914_feb-pag12.jpg,GrandeIllustrazione,1914,feb-pag12,3.0,0.807
GrandeIllustrazione_1914_feb-pag39.jpg,GrandeIllustrazione,1914,feb-pag39,2.0,0.596
GrandeIllustrazione_1914_feb-pag30.jpg,GrandeIllustrazione,1914,feb-pag30,2.0,0.979
GrandeIllustrazione_1914_mag-pag6.jpg,GrandeIllustrazione,1914,mag-pag6,0.0,0.0
GrandeIllustrazione_1914_feb-pag25.jpg,GrandeIllustrazione,1914,feb-pag25,1.0,0.063
GrandeIllustrazione_1914_mag-pag21.jpg,GrandeIllustrazione,1914,mag-pag21,0.0,0.0
GrandeIllustrazione_1914_feb-pag35.jpg,GrandeIllustrazione,1914,feb-pag35,2.0,0.427
GrandeIllustrazione_1914_mag-pag7.jpg,GrandeIllustrazione,1914,mag-pag7,2.0,0.207
GrandeIllustrazione_1914_mag-pag41.jpg,GrandeIllustrazione,1914,mag-pag41,2.0,0.563
GrandeIllustrazione_1914_feb-pag8.jpg,GrandeIllustrazione,1914,feb-pag8,2.0,1.014
GrandeIllustrazione_1914_mag-pag32.jpg,GrandeIllustrazione,1914,mag-pag32,1.0,0.144
GrandeIllustrazione_1914_feb-pag21.jpg,GrandeIllustrazione,1914,feb-pag21,1.0,0.121
GrandeIllustrazione_1914_mag-pag25.jpg,GrandeIllustrazione,1914,mag-pag25,2.0,0.025
GrandeIllustrazione_1914_mag-pag8.jpg,GrandeIllustrazione,1914,mag-pag8,1.0,0.127
GrandeIllustrazione_1914_feb-pag15.jpg,GrandeIllustrazione,1914,feb-pag15,4.0,0.096
GrandeIllustrazione_1914_feb-pag3.jpg,GrandeIllustrazione,1914,feb-pag3,4.0,0.148
GrandeIllustrazione_1914_feb-pag9.jpg,GrandeIllustrazione,1914,feb-pag9,2.0,0.197
GrandeIllustrazione_1914_mag-pag48.jpg,GrandeIllustrazione,1914,mag-pag48,1.0,0.998
GrandeIllustrazione_1914_mag-pag43.jpg,GrandeIllustrazione,1914,mag-pag43,1.0,0.008
GrandeIllustrazione_1914_mag-pag1.jpg,GrandeIllustrazione,1914,mag-pag1,1.0,0.998
GrandeIllustrazione_1914_mag-pag23.jpg,GrandeIllustrazione,1914,mag-pag23,2.0,0.019
GrandeIllustrazione_1914_mag-pag29.jpg,GrandeIllustrazione,1914,mag-pag29,1.0,0.547
GrandeIllustrazione_1914_feb-pag16.jpg,GrandeIllustrazione,1914,feb-pag16,5.0,0.194
GrandeIllustrazione_1914_mag-pag35.jpg,GrandeIllustrazione,1914,mag-pag35,1.0,0.406
GrandeIllustrazione_1914_mag-pag37.jpg,GrandeIllustrazione,1914,mag-pag37,1.0,0.037
